Frequency, Amplitude
9049,32812  0,00003
9050,67480  0,00002
9052,02051  0,00003
9053,36621  0,00001
9054,71191  0,00003
9056,05762  0,00000
9057,40332  0,00002
9058,74902  0,00000
9060,09570  0,00007
9061,44141  0,00000
9062,78711  0,00001
9064,13281  0,00001
9065,47852  0,00003
9066,82422  0,00001
9068,16992  0,00003
9069,51562  0,00001
9070,86133  0,00007
9072,20801  0,00002
9073,55371  0,00003
9074,89941  0,00003
9076,24512  0,00003
9077,59082  0,00005
9078,93652  0,00001
9080,28223  0,00004
9081,62891  0,00004
9082,97461  0,00002
9084,32031  0,00001
9085,66602  0,00001
9087,01172  0,00001
9088,35742  0,00001
9089,70312  0,00006
9091,04883  0,00001
9092,39453  0,00004
9093,74121  0,00001
9095,08691  0,00001
9096,43262  0,00001
9097,77832  0,00006
9099,12402  0,00000
9100,46973  0,00004
9101,81543  0,00000
9103,16211  0,00005
9104,50781  0,00001
9105,85352  0,00004
9107,19922  0,00001
9108,54492  0,00005
9109,89062  0,00001
9111,23633  0,00006
9112,58203  0,00000
9113,92773  0,00002
9115,27441  0,00001
9116,62012  0,00004
9117,96582  0,00000
9119,31152  0,00001
9120,65723  0,00001
9122,00293  0,00005
9123,34863  0,00002
9124,69531  0,00004
9126,04102  0,00003
9127,38672  0,00005
9128,73242  0,00003
9130,07812  0,00004
9131,42383  0,00002
9132,76953  0,00002
9134,11523  0,00002
9135,46094  0,00003
9136,80762  0,00004
9138,15332  0,00001
9139,49902  0,00006
9140,84473  0,00005
9142,19043  0,00003
9143,53613  0,00002
9144,88184  0,00001
9146,22852  0,00001
9147,57422  0,00000
9148,91992  0,00002
9150,26562  0,00001
9151,61133  0,00000
9152,95703  0,00001
9154,30273  0,00006
9155,64844  0,00001
9156,99414  0,00001
9158,34082  0,00001
9159,68652  0,00003
9161,03223  0,00001
9162,37793  0,00002
9163,72363  0,00001
9165,06934  0,00005
9166,41504  0,00001
9167,76172  0,00005
9169,10742  0,00000
9170,45312  0,00003
9171,79883  0,00001
9173,14453  0,00006
9174,49023  0,00001
9175,83594  0,00003
9177,18164  0,00001
9178,52734  0,00005
9179,87402  0,00000
9181,21973  0,00004
9182,56543  0,00001
9183,91113  0,00001
9185,25684  0,00002
9186,60254  0,00004
9187,94824  0,00002
9189,29492  0,00002
9190,64062  0,00002
9191,98633  0,00001
9193,33203  0,00002
9194,67773  0,00002
9196,02344  0,00003
9197,36914  0,00002
9198,71484  0,00006
9200,06055  0,00005
9201,40723  0,00004
9202,75293  0,00003
9204,09863  0,00002
9205,44434  0,00003
9206,79004  0,00002
9208,13574  0,00000
9209,48145  0,00001
9210,82812  0,00003
9212,17383  0,00002
9213,51953  0,00002
9214,86523  0,00001
9216,21094  0,00006
9217,55664  0,00001
9218,90234  0,00001
9220,24805  0,00000
9221,59375  0,00000
9222,94043  0,00000
9224,28613  0,00006
9225,63184  0,00000
9226,97754  0,00006
9228,32324  0,00001
9229,66895  0,00001
9231,01465  0,00001
9232,36133  0,00003
9233,70703  0,00000
9235,05273  0,00001
9236,39844  0,00000
9237,74414  0,00001
9239,08984  0,00000
9240,43555  0,00001
9241,78125  0,00001
9243,12695  0,00001
9244,47363  0,00000
9245,81934  0,00003
9247,16504  0,00000
9248,51074  0,00002
9249,85645  0,00000
9251,20215  0,00000
9252,54785  0,00001
9253,89453  0,00001
9255,24023  0,00003
9256,58594  0,00002
9257,93164  0,00007
9259,27734  0,00005
9260,62305  0,00005
9261,96875  0,00003
9263,31445  0,00003
9264,66016  0,00004
9266,00684  0,00002
9267,35254  0,00002
9268,69824  0,00001
9270,04395  0,00004
9271,38965  0,00000
9272,73535  0,00005
9274,08105  0,00001
9275,42773  0,00002
9276,77344  0,00001
9278,11914  0,00005
9279,46484  0,00000
9280,81055  0,00004
9282,15625  0,00001
9283,50195  0,00004
9284,84766  0,00001
9286,19336  0,00005
9287,54004  0,00001
9288,88574  0,00001
9290,23145  0,00001
9291,57715  0,00001
9292,92285  0,00001
9294,26855  0,00005
9295,61426  0,00001
9296,96094  0,00007
9298,30664  0,00002
9299,65234  0,00005
9300,99805  0,00002
9302,34375  0,00006
9303,68945  0,00001
9305,03516  0,00001
9306,38086  0,00000
9307,72656  0,00000
9309,07324  0,00000
9310,41895  0,00001
9311,76465  0,00001
9313,11035  0,00000
9314,45605  0,00003
9315,80176  0,00004
9317,14746  0,00006
9318,49414  0,00005
9319,83984  0,00004
9321,18555  0,00006
9322,53125  0,00003
9323,87695  0,00006
9325,22266  0,00002
9326,56836  0,00005
9327,91406  0,00002
9329,25977  0,00001
9330,60645  0,00000
9331,95215  0,00002
9333,29785  0,00000
9334,64355  0,00004
9335,98926  0,00001
9337,33496  0,00003
9338,68066  0,00001
9340,02734  0,00005
9341,37305  0,00002
9342,71875  0,00001
9344,06445  0,00003
9345,41016  0,00003
9346,75586  0,00003
9348,10156  0,00000
9349,44727  0,00001
9350,79297  0,00002
9352,13965  0,00000
9353,48535  0,00002
9354,83105  0,00000
9356,17676  0,00001
9357,52246  0,00000
9358,86816  0,00002
9360,21387  0,00001
9361,56055  0,00003
9362,90625  0,00001
9364,25195  0,00004
9365,59766  0,00000
9366,94336  0,00003
9368,28906  0,00000
9369,63477  0,00009
9370,98047  0,00002
9372,32617  0,00002
9373,67285  0,00005
9375,01855  0,00005
9376,36426  0,00004
9377,70996  0,00000
9379,05566  0,00001
9380,40137  0,00010
9381,74707  0,00000
9383,09375  0,00002
9384,43945  0,00001
9385,78516  0,00003
9387,13086  0,00002
9388,47656  0,00003
9389,82227  0,00002
9391,16797  0,00002
9392,51367  0,00001
9393,85938  0,00002
9395,20605  0,00000
9396,55176  0,00001
9397,89746  0,00000
9399,24316  0,00003
9400,58887  0,00001
9401,93457  0,00000
9403,28027  0,00003
9404,62695  0,00003
9405,97266  0,00003
9407,31836  0,00000
9408,66406  0,00002
9410,00977  0,00005
9411,35547  0,00000
9412,70117  0,00003
9414,04688  0,00001
9415,39258  0,00004
9416,73926  0,00001
9418,08496  0,00002
9419,43066  0,00000
9420,77637  0,00001
9422,12207  0,00002
9423,46777  0,00004
9424,81348  0,00002
9426,16016  0,00005
9427,50586  0,00002
9428,85156  0,00006
9430,19727  0,00003
9431,54297  0,00004
9432,88867  0,00004
9434,23438  0,00006
9435,58008  0,00006
9436,92578  0,00001
9438,27246  0,00003
9439,61816  0,00002
9440,96387  0,00001
9442,30957  0,00000
9443,65527  0,00001
9445,00098  0,00000
9446,34668  0,00001
9447,69336  0,00007
9449,03906  0,00002
9450,38477  0,00005
9451,73047  0,00002
9453,07617  0,00006
9454,42188  0,00002
9455,76758  0,00005
9457,11328  0,00001
9458,45898  0,00001
9459,80566  0,00001
9461,15137  0,00000
9462,49707  0,00001
9463,84277  0,00005
9465,18848  0,00001
9466,53418  0,00004
9467,87988  0,00001
9469,22656  0,00004
9470,57227  0,00000
9471,91797  0,00005
9473,26367  0,00001
9474,60938  0,00002
9475,95508  0,00001
9477,30078  0,00005
9478,64648  0,00000
9479,99219  0,00004
9481,33887  0,00001
9482,68457  0,00002
9484,03027  0,00002
9485,37598  0,00003
9486,72168  0,00003
9488,06738  0,00003
9489,41309  0,00004
9490,75977  0,00006
9492,10547  0,00005
9493,45117  0,00004
9494,79688  0,00006
9496,14258  0,00000
9497,48828  0,00004
9498,83398  0,00001
9500,17969  0,00002
9501,52539  0,00002
9502,87207  0,00001
9504,21777  0,00003
9505,56348  0,00000
9506,90918  0,00001
9508,25488  0,00001
9509,60059  0,00000
9510,94629  0,00001
9512,29297  0,00001
9513,63867  0,00000
9514,98438  0,00001
9516,33008  0,00000
9517,67578  0,00003
9519,02148  0,00001
9520,36719  0,00001
9521,71289  0,00001
9523,05859  0,00007
9524,40527  0,00000
9525,75098  0,00006
9527,09668  0,00000
9528,44238  0,00000
9529,78809  0,00000
9531,13379  0,00001
9532,47949  0,00001
9533,82617  0,00006
9535,17188  0,00001
9536,51758  0,00002
9537,86328  0,00001
9539,20898  0,00003
9540,55469  0,00001
9541,90039  0,00001
9543,24609  0,00002
9544,59180  0,00002
9545,93848  0,00002
9547,28418  0,00003
9548,62988  0,00003
9549,97559  0,00006
9551,32129  0,00004
9552,66699  0,00003
9554,01270  0,00006
9555,35938  0,00000
9556,70508  0,00004
9558,05078  0,00000
9559,39648  0,00003
9560,74219  0,00003
9562,08789  0,00002
9563,43359  0,00004
9564,77930  0,00002
9566,12500  0,00002
9567,47168  0,00002
9568,81738  0,00004
9570,16309  0,00001
9571,50879  0,00005
9572,85449  0,00000
9574,20020  0,00003
9575,54590  0,00001
9576,89258  0,00006
9578,23828  0,00001
9579,58398  0,00003
9580,92969  0,00000
9582,27539  0,00005
9583,62109  0,00001
9584,96680  0,00006
9586,31250  0,00001
9587,65820  0,00001
9589,00488  0,00001
9590,35059  0,00003
9591,69629  0,00001
9593,04199  0,00001
9594,38770  0,00001
9595,73340  0,00006
9597,07910  0,00001
9598,42578  0,00000
9599,77148  0,00001
9601,11719  0,00003
9602,46289  0,00000
9603,80859  0,00001
9605,15430  0,00001
9606,50000  0,00002
9607,84570  0,00002
9609,19141  0,00005
9610,53809  0,00003
9611,88379  0,00003
9613,22949  0,00006
9614,57520  0,00001
9615,92090  0,00005
9617,26660  0,00001
9618,61230  0,00003
9619,95898  0,00004
9621,30469  0,00003
9622,65039  0,00006
9623,99609  0,00003
9625,34180  0,00005
9626,68750  0,00002
9628,03320  0,00004
9629,37891  0,00001
9630,72461  0,00001
9632,07129  0,00000
9633,41699  0,00004
9634,76270  0,00000
9636,10840  0,00002
9637,45410  0,00000
9638,79980  0,00005
9640,14551  0,00000
9641,49219  0,00005
9642,83789  0,00001
9644,18359  0,00004
9645,52930  0,00001
9646,87500  0,00005
9648,22070  0,00000
9649,56641  0,00004
9650,91211  0,00000
9652,25781  0,00006
9653,60449  0,00000
9654,95020  0,00001
9656,29590  0,00001
9657,64160  0,00005
9658,98730  0,00001
9660,33301  0,00005
9661,67871  0,00001
9663,02539  0,00002
9664,37109  0,00001
9665,71680  0,00001
9667,06250  0,00001
9668,40820  0,00005
9669,75391  0,00002
9671,09961  0,00003
9672,44531  0,00005
9673,79102  0,00002
9675,13770  0,00005
9676,48340  0,00002
9677,82910  0,00003
9679,17480  0,00007
9680,52051  0,00002
9681,86621  0,00002
9683,21191  0,00001
9684,55859  0,00003
9685,90430  0,00001
9687,25000  0,00001
9688,59570  0,00001
9689,94141  0,00007
9691,28711  0,00001
9692,63281  0,00002
9693,97852  0,00001
9695,32422  0,00002
9696,67090  0,00001
9698,01660  0,00004
9699,36230  0,00001
9700,70801  0,00004
9702,05371  0,00001
9703,39941  0,00003
9704,74512  0,00000
9706,09180  0,00003
9707,43750  0,00002
9708,78320  0,00002
9710,12891  0,00002
9711,47461  0,00001
9712,82031  0,00001
9714,16602  0,00004
9715,51172  0,00001
9716,85742  0,00002
9718,20410  0,00002
9719,54980  0,00001
9720,89551  0,00003
9722,24121  0,00006
9723,58691  0,00002
9724,93262  0,00001
9726,27832  0,00001
9727,62500  0,00004
9728,97070  0,00002
9730,31641  0,00002
9731,66211  0,00004
9733,00781  0,00003
9734,35352  0,00005
9735,69922  0,00004
9737,04492  0,00002
9738,39062  0,00002
9739,73730  0,00001
9741,08301  0,00002
9742,42871  0,00001
9743,77441  0,00001
9745,12012  0,00002
9746,46582  0,00005
9747,81152  0,00002
9749,15820  0,00001
9750,50391  0,00002
9751,84961  0,00005
9753,19531  0,00001
9754,54102  0,00005
9755,88672  0,00000
9757,23242  0,00003
9758,57812  0,00000
9759,92383  0,00004
9761,27051  0,00001
9762,61621  0,00002
9763,96191  0,00001
9765,30762  0,00003
9766,65332  0,00001
9767,99902  0,00003
9769,34473  0,00001
9770,69141  0,00004
9772,03711  0,00001
9773,38281  0,00001
9774,72852  0,00001
9776,07422  0,00001
9777,41992  0,00002
9778,76562  0,00001
9780,11133  0,00001
9781,45703  0,00006
9782,80371  0,00001
9784,14941  0,00002
9785,49512  0,00000
9786,84082  0,00004
9788,18652  0,00001
9789,53223  0,00002
9790,87793  0,00004
9792,22461  0,00003
9793,57031  0,00006
9794,91602  0,00005
9796,26172  0,00003
9797,60742  0,00002
9798,95312  0,00002
9800,29883  0,00003
9801,64453  0,00001
9802,99023  0,00004
9804,33691  0,00002
9805,68262  0,00003
9807,02832  0,00002
9808,37402  0,00005
9809,71973  0,00001
9811,06543  0,00001
9812,41113  0,00001
9813,75781  0,00002
9815,10352  0,00001
9816,44922  0,00000
9817,79492  0,00001
9819,14062  0,00003
9820,48633  0,00001
9821,83203  0,00001
9823,17773  0,00001
9824,52344  0,00001
9825,87012  0,00001
9827,21582  0,00003
9828,56152  0,00002
9829,90723  0,00000
9831,25293  0,00002
9832,59863  0,00001
9833,94434  0,00001
9835,29102  0,00003
9836,63672  0,00000
9837,98242  0,00003
9839,32812  0,00001
9840,67383  0,00003
9842,01953  0,00001
9843,36523  0,00007
9844,71094  0,00002
9846,05664  0,00001
9847,40332  0,00002
9848,74902  0,00000
9850,09473  0,00004
9851,44043  0,00004
9852,78613  0,00007
9854,13184  0,00005
9855,47754  0,00004
9856,82422  0,00001
9858,16992  0,00002
9859,51562  0,00006
9860,86133  0,00001
9862,20703  0,00004
9863,55273  0,00000
9864,89844  0,00004
9866,24414  0,00000
9867,58984  0,00001
9868,93652  0,00001
9870,28223  0,00004
9871,62793  0,00001
9872,97363  0,00000
9874,31934  0,00000
9875,66504  0,00002
9877,01074  0,00000
9878,35742  0,00002
9879,70312  0,00001
9881,04883  0,00000
9882,39453  0,00001
9883,74023  0,00003
9885,08594  0,00001
9886,43164  0,00001
9887,77734  0,00001
9889,12305  0,00002
9890,46973  0,00002
9891,81543  0,00002
9893,16113  0,00003
9894,50684  0,00001
9895,85254  0,00003
9897,19824  0,00003
9898,54395  0,00002
9899,89062  0,00000
9901,23633  0,00001
9902,58203  0,00006
9903,92773  0,00001
9905,27344  0,00000
9906,61914  0,00002
9907,96484  0,00002
9909,31055  0,00006
9910,65625  0,00004
9912,00293  0,00003
9913,34863  0,00002
9914,69434  0,00000
9916,04004  0,00005
9917,38574  0,00000
9918,73145  0,00002
9920,07715  0,00001
9921,42383  0,00001
9922,76953  0,00002
9924,11523  0,00006
9925,46094  0,00002
9926,80664  0,00004
9928,15234  0,00002
9929,49805  0,00002
9930,84375  0,00000
9932,18945  0,00004
9933,53613  0,00001
9934,88184  0,00003
9936,22754  0,00000
9937,57324  0,00003
9938,91895  0,00001
9940,26465  0,00001
9941,61035  0,00001
9942,95703  0,00004
9944,30273  0,00002
9945,64844  0,00003
9946,99414  0,00001
9948,33984  0,00004
9949,68555  0,00000
9951,03125  0,00001
9952,37695  0,00000
9953,72266  0,00000
9955,06934  0,00000
9956,41504  0,00003
9957,76074  0,00000
9959,10645  0,00001
9960,45215  0,00000
9961,79785  0,00004
9963,14355  0,00001
9964,49023  0,00002
9965,83594  0,00003
9967,18164  0,00003
9968,52734  0,00005
9969,87305  0,00005
9971,21875  0,00005
9972,56445  0,00003
9973,91016  0,00002
9975,25586  0,00005
9976,60254  0,00001
9977,94824  0,00000
9979,29395  0,00000
9980,63965  0,00004
9981,98535  0,00000
9983,33105  0,00000
9984,67676  0,00000
9986,02344  0,00001
9987,36914  0,00001
9988,71484  0,00004
9990,06055  0,00001
9991,40625  0,00003
9992,75195  0,00002
9994,09766  0,00005
9995,44336  0,00001
9996,78906  0,00001
9998,13574  0,00001
9999,48145  0,00002
10000,82715  0,00000
10002,17285  0,00003
10003,51855  0,00001
10004,86426  0,00004
10006,20996  0,00000
10007,55664  0,00002
10008,90234  0,00001
10010,24805  0,00004
10011,59375  0,00002
10012,93945  0,00005
10014,28516  0,00002
10015,63086  0,00002
10016,97656  0,00001
10018,32227  0,00003
10019,66895  0,00001
10021,01465  0,00004
10022,36035  0,00001
10023,70605  0,00001
10025,05176  0,00001
10026,39746  0,00003
10027,74316  0,00004
10029,08984  0,00004
10030,43555  0,00005
10031,78125  0,00001
10033,12695  0,00002
10034,47266  0,00007
10035,81836  0,00001
10037,16406  0,00001
10038,50977  0,00002
10039,85547  0,00004
10041,20215  0,00003
10042,54785  0,00001
10043,89355  0,00003
10045,23926  0,00002
10046,58496  0,00002
10047,93066  0,00002
10049,27637  0,00001
10050,62305  0,00000
10051,96875  0,00001
10053,31445  0,00003
10054,66016  0,00001
10056,00586  0,00000
10057,35156  0,00001
10058,69727  0,00002
10060,04297  0,00001
10061,38867  0,00002
10062,73535  0,00000
10064,08105  0,00000
10065,42676  0,00001
10066,77246  0,00004
10068,11816  0,00001
10069,46387  0,00001
10070,80957  0,00001
10072,15625  0,00003
10073,50195  0,00000
10074,84766  0,00005
10076,19336  0,00001
10077,53906  0,00005
10078,88477  0,00002
10080,23047  0,00001
10081,57617  0,00003
10082,92188  0,00006
10084,26855  0,00004
10085,61426  0,00005
10086,95996  0,00006
10088,30566  0,00002
10089,65137  0,00004
10090,99707  0,00000
10092,34277  0,00003
10093,68945  0,00007
10095,03516  0,00002
10096,38086  0,00004
10097,72656  0,00001
10099,07227  0,00003
10100,41797  0,00000
10101,76367  0,00003
10103,10938  0,00001
10104,45508  0,00001
10105,80176  0,00002
10107,14746  0,00000
10108,49316  0,00002
10109,83887  0,00002
10111,18457  0,00001
10112,53027  0,00001
10113,87598  0,00000
10115,22266  0,00001
10116,56836  0,00001
10117,91406  0,00002
10119,25977  0,00001
10120,60547  0,00001
10121,95117  0,00001
10123,29688  0,00002
10124,64258  0,00001
10125,98828  0,00000
10127,33496  0,00001
10128,68066  0,00005
10130,02637  0,00001
10131,37207  0,00003
10132,71777  0,00002
10134,06348  0,00003
10135,40918  0,00002
10136,75586  0,00003
10138,10156  0,00001
10139,44727  0,00002
10140,79297  0,00002
10142,13867  0,00006
10143,48438  0,00003
10144,83008  0,00005
10146,17578  0,00006
10147,52148  0,00000
10148,86816  0,00003
10150,21387  0,00003
10151,55957  0,00001
10152,90527  0,00002
10154,25098  0,00001
10155,59668  0,00006
10156,94238  0,00001
10158,28906  0,00000
10159,63477  0,00002
10160,98047  0,00001
10162,32617  0,00002
10163,67188  0,00001
10165,01758  0,00002
10166,36328  0,00004
10167,70898  0,00001
10169,05469  0,00003
10170,40137  0,00001
10171,74707  0,00002
10173,09277  0,00001
10174,43848  0,00002
10175,78418  0,00001
10177,12988  0,00004
10178,47559  0,00000
10179,82227  0,00003
10181,16797  0,00000
10182,51367  0,00006
10183,85938  0,00000
10185,20508  0,00005
10186,55078  0,00001
10187,89648  0,00001
10189,24219  0,00002
10190,58789  0,00005
10191,93457  0,00002
10193,28027  0,00000
10194,62598  0,00001
10195,97168  0,00001
10197,31738  0,00000
10198,66309  0,00003
10200,00879  0,00001
10201,35547  0,00005
10202,70117  0,00003
10204,04688  0,00004
10205,39258  0,00006
10206,73828  0,00001
10208,08398  0,00004
10209,42969  0,00003
10210,77539  0,00002
10212,12109  0,00001
10213,46777  0,00002
10214,81348  0,00007
10216,15918  0,00003
10217,50488  0,00001
10218,85059  0,00003
10220,19629  0,00003
10221,54199  0,00001
10222,88867  0,00004
10224,23438  0,00000
10225,58008  0,00001
10226,92578  0,00002
10228,27148  0,00002
10229,61719  0,00002
10230,96289  0,00003
10232,30859  0,00000
10233,65430  0,00002
10235,00098  0,00001
10236,34668  0,00003
10237,69238  0,00002
10239,03809  0,00003
10240,38379  0,00001
10241,72949  0,00003
10243,07520  0,00000
10244,42188  0,00002
10245,76758  0,00000
10247,11328  0,00007
10248,45898  0,00000
10249,80469  0,00001
10251,15039  0,00001
10252,49609  0,00003
10253,84180  0,00001
10255,18750  0,00003
10256,53418  0,00001
10257,87988  0,00007
10259,22559  0,00002
10260,57129  0,00003
10261,91699  0,00003
10263,26270  0,00003
10264,60840  0,00005
10265,95508  0,00001
10267,30078  0,00004
10268,64648  0,00004
10269,99219  0,00002
10271,33789  0,00001
10272,68359  0,00001
10274,02930  0,00001
10275,37500  0,00001
10276,72070  0,00006
10278,06738  0,00001
10279,41309  0,00004
10280,75879  0,00001
10282,10449  0,00001
10283,45020  0,00001
10284,79590  0,00006
10286,14160  0,00000
10287,48828  0,00004
10288,83398  0,00000
10290,17969  0,00005
10291,52539  0,00001
10292,87109  0,00004
10294,21680  0,00001
10295,56250  0,00004
10296,90820  0,00000
10298,25391  0,00006
10299,60059  0,00000
10300,94629  0,00002
10302,29199  0,00001
10303,63770  0,00004
10304,98340  0,00000
10306,32910  0,00000
10307,67480  0,00001
10309,02148  0,00005
10310,36719  0,00002
10311,71289  0,00004
10313,05859  0,00003
10314,40430  0,00005
10315,75000  0,00003
10317,09570  0,00004
10318,44141  0,00002
10319,78711  0,00002
10321,13379  0,00002
10322,47949  0,00003
10323,82520  0,00004
10325,17090  0,00001
10326,51660  0,00006
10327,86230  0,00005
10329,20801  0,00003
10330,55469  0,00002
10331,90039  0,00001
10333,24609  0,00001
10334,59180  0,00001
10335,93750  0,00002
10337,28320  0,00001
10338,62891  0,00000
10339,97461  0,00001
10341,32031  0,00006
10342,66699  0,00001
10344,01270  0,00001
10345,35840  0,00001
10346,70410  0,00003
10348,04980  0,00001
10349,39551  0,00002
10350,74121  0,00001
10352,08789  0,00006
10353,43359  0,00001
10354,77930  0,00005
10356,12500  0,00000
10357,47070  0,00003
10358,81641  0,00001
10360,16211  0,00006
10361,50781  0,00001
10362,85352  0,00003
10364,20020  0,00001
10365,54590  0,00005
10366,89160  0,00000
10368,23730  0,00003
10369,58301  0,00001
10370,92871  0,00001
10372,27441  0,00002
10373,62109  0,00004
10374,96680  0,00002
10376,31250  0,00002
10377,65820  0,00001
10379,00391  0,00001
10380,34961  0,00002
10381,69531  0,00002
10383,04102  0,00004
10384,38672  0,00002
10385,73340  0,00006
10387,07910  0,00005
10388,42480  0,00004
10389,77051  0,00003
10391,11621  0,00002
10392,46191  0,00002
10393,80762  0,00002
10395,15430  0,00000
10396,50000  0,00001
10397,84570  0,00004
10399,19141  0,00001
10400,53711  0,00001
10401,88281  0,00001
10403,22852  0,00006
10404,57422  0,00001
10405,91992  0,00002
10407,26660  0,00002
10408,61230  0,00002
10409,95801  0,00002
10411,30371  0,00005
10412,64941  0,00001
10413,99512  0,00005
10415,34082  0,00001
10416,68750  0,00002
10418,03320  0,00000
10419,37891  0,00003
10420,72461  0,00001
10422,07031  0,00001
10423,41602  0,00001
10424,76172  0,00001
10426,10742  0,00000
10427,45312  0,00001
10428,79980  0,00001
10430,14551  0,00002
10431,49121  0,00001
10432,83691  0,00002
10434,18262  0,00000
10435,52832  0,00002
10436,87402  0,00000
10438,22070  0,00000
10439,56641  0,00001
10440,91211  0,00001
10442,25781  0,00003
10443,60352  0,00002
10444,94922  0,00007
10446,29492  0,00006
10447,64062  0,00005
10448,98633  0,00003
10450,33301  0,00003
10451,67871  0,00004
10453,02441  0,00002
10454,37012  0,00002
10455,71582  0,00001
10457,06152  0,00004
10458,40723  0,00000
10459,75391  0,00005
10461,09961  0,00001
10462,44531  0,00002
10463,79102  0,00001
10465,13672  0,00004
10466,48242  0,00000
10467,82812  0,00004
10469,17383  0,00001
10470,51953  0,00004
10471,86621  0,00001
10473,21191  0,00005
10474,55762  0,00001
10475,90332  0,00001
10477,24902  0,00001
10478,59473  0,00001
10479,94043  0,00001
10481,28711  0,00005
10482,63281  0,00001
10483,97852  0,00006
10485,32422  0,00002
10486,66992  0,00005
10488,01562  0,00002
10489,36133  0,00006
10490,70703  0,00001
10492,05273  0,00001
10493,39941  0,00000
10494,74512  0,00000
10496,09082  0,00000
10497,43652  0,00001
10498,78223  0,00001
10500,12793  0,00000
10501,47363  0,00003
10502,82031  0,00004
10504,16602  0,00006
10505,51172  0,00005
10506,85742  0,00004
10508,20312  0,00006
10509,54883  0,00003
10510,89453  0,00006
10512,24023  0,00002
10513,58594  0,00005
10514,93262  0,00002
10516,27832  0,00001
10517,62402  0,00000
10518,96973  0,00002
10520,31543  0,00001
10521,66113  0,00004
10523,00684  0,00001
10524,35352  0,00003
10525,69922  0,00000
10527,04492  0,00005
10528,39062  0,00002
10529,73633  0,00001
10531,08203  0,00003
10532,42773  0,00003
10533,77344  0,00003
10535,11914  0,00000
10536,46582  0,00001
10537,81152  0,00002
10539,15723  0,00000
10540,50293  0,00002
10541,84863  0,00000
10543,19434  0,00001
10544,54004  0,00000
10545,88672  0,00002
10547,23242  0,00001
10548,57812  0,00003
10549,92383  0,00001
10551,26953  0,00004
10552,61523  0,00000
10553,96094  0,00003
10555,30664  0,00000
10556,65234  0,00009
10557,99902  0,00002
10559,34473  0,00002
10560,69043  0,00005
10562,03613  0,00005
10563,38184  0,00004
10564,72754  0,00000
10566,07324  0,00001
10567,41992  0,00010
10568,76562  0,00000
10570,11133  0,00002
10571,45703  0,00001
10572,80273  0,00004
10574,14844  0,00002
10575,49414  0,00003
10576,83984  0,00002
10578,18555  0,00002
10579,53223  0,00000
10580,87793  0,00002
10582,22363  0,00000
10583,56934  0,00001
10584,91504  0,00000
10586,26074  0,00002
10587,60645  0,00001
10588,95312  0,00000
10590,29883  0,00003
10591,64453  0,00003
10592,99023  0,00003
10594,33594  0,00000
10595,68164  0,00002
10597,02734  0,00005
10598,37305  0,00000
10599,71875  0,00003
10601,06543  0,00001
10602,41113  0,00004
10603,75684  0,00001
10605,10254  0,00002
10606,44824  0,00000
10607,79395  0,00001
10609,13965  0,00002
10610,48633  0,00004
10611,83203  0,00002
10613,17773  0,00005
10614,52344  0,00002
10615,86914  0,00006
10617,21484  0,00003
10618,56055  0,00004
10619,90625  0,00004
10621,25195  0,00006
10622,59863  0,00007
10623,94434  0,00001
10625,29004  0,00003
10626,63574  0,00002
10627,98145  0,00001
10629,32715  0,00000
10630,67285  0,00001
10632,01953  0,00000
10633,36523  0,00001
10634,71094  0,00007
10636,05664  0,00002
10637,40234  0,00005
10638,74805  0,00002
10640,09375  0,00006
10641,43945  0,00001
10642,78516  0,00005
10644,13184  0,00001
10645,47754  0,00001
10646,82324  0,00001
10648,16895  0,00001
10649,51465  0,00001
10650,86035  0,00005
10652,20605  0,00001
10653,55273  0,00004
10654,89844  0,00001
10656,24414  0,00004
10657,58984  0,00000
10658,93555  0,00005
10660,28125  0,00001
10661,62695  0,00002
10662,97266  0,00001
10664,31836  0,00005
10665,66504  0,00000
10667,01074  0,00004
10668,35645  0,00001
10669,70215  0,00002
10671,04785  0,00002
10672,39355  0,00003
10673,73926  0,00003
10675,08594  0,00003
10676,43164  0,00004
10677,77734  0,00006
10679,12305  0,00005
10680,46875  0,00004
10681,81445  0,00007
10683,16016  0,00000
10684,50586  0,00003
10685,85156  0,00001
10687,19824  0,00002
10688,54395  0,00002
10689,88965  0,00000
10691,23535  0,00003
10692,58105  0,00000
10693,92676  0,00001
10695,27246  0,00000
10696,61914  0,00001
10697,96484  0,00001
10699,31055  0,00001
10700,65625  0,00000
10702,00195  0,00001
10703,34766  0,00000
10704,69336  0,00003
10706,03906  0,00001
10707,38477  0,00001
10708,73145  0,00001
10710,07715  0,00006
10711,42285  0,00001
10712,76855  0,00006
10714,11426  0,00000
10715,45996  0,00001
10716,80566  0,00000
10718,15234  0,00001
10719,49805  0,00001
10720,84375  0,00006
10722,18945  0,00001
10723,53516  0,00002
10724,88086  0,00001
10726,22656  0,00003
10727,57227  0,00001
10728,91797  0,00001
10730,26465  0,00002
10731,61035  0,00002
10732,95605  0,00002
10734,30176  0,00003
10735,64746  0,00003
10736,99316  0,00006
10738,33887  0,00004
10739,68555  0,00003
10741,03125  0,00006
10742,37695  0,00000
10743,72266  0,00004
10745,06836  0,00000
10746,41406  0,00003
10747,75977  0,00002
10749,10547  0,00002
10750,45117  0,00004
10751,79785  0,00002
10753,14355  0,00002
10754,48926  0,00001
10755,83496  0,00004
10757,18066  0,00001
10758,52637  0,00005
